Date,Campaign Name,Total Unique Users,Total Visitors Completed,Impressions,Number of Clicks,Number of Conversions,Advertising Channel,Device Type,OS,Browser,Geographic Location,Start Time of Session,End Time of Session,Platform,Total Cost
2023-11-18,fall_campaign,1003,917,4159,2889,1141,Email Marketing,Tablet,iOS,Safari,Ottawa,2023-11-18 10:11:55,2023-11-18 12:11:55,Google,896
2023-09-25,fall_campaign,609,454,4610,1815,1137,Search Engine,Desktop,iOS,Chrome,Vancouver,2023-09-25 01:13:04,2023-09-25 04:13:04,YouTube,856
2023-10-25,fall_campaign,1446,721,3820,3195,943,Social Media,Mobile,iOS,Firefox,Quebec City,2023-10-25 16:28:02,2023-10-25 18:28:02,Google,968
2023-07-15,summer_campaign,1724,1105,1449,370,149,Search Engine,Mobile,Android,Firefox,London,2023-07-15 06:21:24,2023-07-15 10:21:24,Facebook,474
2023-06-24,summer_campaign,1094,915,1931,920,818,Search Engine,Tablet,iOS,Safari,Montreal,2023-06-24 20:56:18,2023-06-24 23:56:18,YouTube,443
2023-06-03,summer_campaign,1168,745,1747,1472,607,Social Media,Tablet,Android,Chrome,Calgary,2023-06-03 12:21:08,2023-06-03 14:21:08,Google,941
2023-07-16,summer_campaign,906,491,2512,972,278,Search Engine,Mobile,Android,Firefox,Toronto,2023-07-16 23:04:06,2023-07-17 00:04:06,Facebook,954
2023-03-26,spring_campaign,1194,453,4513,719,282,Search Engine,Mobile,Windows,Safari,Toronto,2023-03-26 10:45:28,2023-03-26 14:45:28,YouTube,489
2023-07-26,summer_campaign,1155,852,2194,255,8,Social Media,Desktop,Windows,Firefox,London,2023-07-26 18:25:20,2023-07-26 23:25:20,YouTube,266
2023-10-25,fall_campaign,1837,512,4675,3528,3143,Email Marketing,Mobile,iOS,Chrome,Edmonton,2023-10-25 16:17:11,2023-10-25 20:17:11,Facebook,479
2023-07-30,summer_campaign,1768,1191,1077,441,140,Search Engine,Tablet,iOS,Firefox,Toronto,2023-07-30 14:09:21,2023-07-30 17:09:21,YouTube,686
2023-07-14,summer_campaign,1239,1148,3771,2786,2655,Social Media,Tablet,Android,Safari,Calgary,2023-07-14 12:09:26,2023-07-14 13:09:26,Facebook,784
2023-09-03,fall_campaign,1255,725,3745,1586,928,Email Marketing,Mobile,Android,Firefox,Calgary,2023-09-03 04:31:46,2023-09-03 05:31:46,YouTube,760
2023-08-31,summer_campaign,1879,704,3111,1976,563,Social Media,Tablet,Android,Safari,Quebec City,2023-08-31 16:55:33,2023-08-31 17:55:33,YouTube,459
2023-07-19,summer_campaign,1811,1417,2583,1748,947,Social Media,Tablet,Android,Safari,Hamilton,2023-07-19 16:44:59,2023-07-19 17:44:59,YouTube,771
2023-12-24,winter_campaign,1334,1099,1949,755,92,Search Engine,Mobile,iOS,Chrome,Hamilton,2023-12-24 03:51:04,2023-12-24 08:51:04,Facebook,558
2023-01-22,winter_campaign,769,734,4074,3154,2014,Social Media,Tablet,iOS,Safari,Calgary,2023-01-22 06:17:55,2023-01-22 09:17:55,Google,785
2023-06-26,summer_campaign,866,437,3780,2937,967,Search Engine,Desktop,Android,Chrome,Calgary,2023-06-26 06:50:56,2023-06-26 08:50:56,Facebook,742
2023-07-21,summer_campaign,774,545,4024,1566,1073,Social Media,Tablet,Android,Safari,Ottawa,2023-07-21 17:50:03,2023-07-21 22:50:03,YouTube,790
2023-01-31,winter_campaign,522,520,2151,1327,568,Email Marketing,Tablet,Android,Chrome,Toronto,2023-01-31 23:11:56,2023-02-01 01:11:56,Google,418
2023-09-07,fall_campaign,1886,555,4765,2575,580,Search Engine,Mobile,Android,Firefox,Quebec City,2023-09-07 15:25:41,2023-09-07 16:25:41,Google,330
2023-02-08,winter_campaign,1121,789,2242,958,907,Social Media,Mobile,iOS,Safari,Vancouver,2023-02-08 17:58:52,2023-02-08 20:58:52,Facebook,239
2023-03-25,spring_campaign,924,884,2875,2277,1342,Social Media,Desktop,iOS,Chrome,Montreal,2023-03-25 04:09:45,2023-03-25 06:09:45,Google,591
2023-02-16,winter_campaign,1421,591,3646,1529,137,Social Media,Desktop,iOS,Firefox,London,2023-02-16 19:42:11,2023-02-16 22:42:11,YouTube,587
2023-12-30,winter_campaign,1552,986,4883,3040,2353,Social Media,Tablet,iOS,Safari,Quebec City,2023-12-30 17:28:18,2023-12-30 22:28:18,Google,603
2023-10-12,fall_campaign,552,509,4925,3764,114,Email Marketing,Tablet,iOS,Safari,London,2023-10-12 22:55:40,2023-10-13 03:55:40,Facebook,103
2023-07-31,summer_campaign,1645,479,3629,347,234,Search Engine,Tablet,iOS,Firefox,Quebec City,2023-07-31 15:40:35,2023-07-31 17:40:35,Facebook,721
2023-10-30,fall_campaign,671,474,1436,1259,358,Search Engine,Desktop,Android,Chrome,London,2023-10-30 14:42:20,2023-10-30 19:42:20,Facebook,300
2023-11-19,fall_campaign,1784,1697,2767,2531,484,Social Media,Tablet,Windows,Firefox,Hamilton,2023-11-19 16:43:53,2023-11-19 19:43:53,Google,362
2023-04-05,spring_campaign,1758,1642,3567,481,185,Search Engine,Desktop,iOS,Chrome,London,2023-04-05 22:42:25,2023-04-06 01:42:25,YouTube,887
2023-11-07,fall_campaign,1744,1390,1006,610,286,Email Marketing,Desktop,Android,Safari,Hamilton,2023-11-07 03:11:37,2023-11-07 04:11:37,Facebook,330
2023-08-02,summer_campaign,1982,934,3503,659,594,Search Engine,Tablet,Windows,Safari,Ottawa,2023-08-02 01:22:41,2023-08-02 02:22:41,Facebook,866
2023-08-06,summer_campaign,1644,576,3254,352,45,Social Media,Desktop,iOS,Firefox,Quebec City,2023-08-06 15:19:55,2023-08-06 20:19:55,Facebook,741
2023-09-11,fall_campaign,1526,1388,2726,1513,55,Search Engine,Desktop,Windows,Chrome,Edmonton,2023-09-11 08:57:23,2023-09-11 09:57:23,YouTube,116
2023-05-11,spring_campaign,1111,504,4913,3829,177,Email Marketing,Tablet,Android,Chrome,Calgary,2023-05-11 20:25:07,2023-05-11 23:25:07,Google,864
2023-03-19,spring_campaign,1408,986,2778,648,296,Search Engine,Mobile,iOS,Firefox,Vancouver,2023-03-19 12:43:25,2023-03-19 16:43:25,Google,326
2023-01-24,winter_campaign,1996,1760,2929,2226,881,Social Media,Tablet,Android,Safari,Edmonton,2023-01-24 16:31:45,2023-01-24 19:31:45,YouTube,213
2023-07-08,summer_campaign,950,452,4067,3300,3013,Search Engine,Mobile,iOS,Safari,Montreal,2023-07-08 14:59:04,2023-07-08 16:59:04,Facebook,531
2023-03-15,spring_campaign,1867,1185,1258,823,147,Social Media,Mobile,Windows,Safari,Toronto,2023-03-15 22:43:42,2023-03-16 03:43:42,YouTube,865
2023-08-30,summer_campaign,1644,849,2008,434,140,Email Marketing,Desktop,iOS,Chrome,Quebec City,2023-08-30 20:33:05,2023-08-31 01:33:05,YouTube,199
2023-09-29,fall_campaign,798,732,4844,4529,1037,Social Media,Desktop,Windows,Safari,Ottawa,2023-09-29 17:07:11,2023-09-29 20:07:11,YouTube,536
2023-12-02,winter_campaign,1059,1004,4535,3476,129,Social Media,Desktop,Windows,Chrome,Toronto,2023-12-02 21:22:41,2023-12-02 23:22:41,Google,752
2023-01-16,winter_campaign,1125,869,4712,1729,418,Social Media,Tablet,Windows,Safari,Calgary,2023-01-16 03:34:42,2023-01-16 08:34:42,YouTube,777
2023-02-09,winter_campaign,1131,719,2356,2178,290,Search Engine,Desktop,Android,Firefox,Ottawa,2023-02-09 10:41:40,2023-02-09 15:41:40,YouTube,206
2023-08-03,summer_campaign,1588,1549,1645,1279,846,Search Engine,Mobile,iOS,Firefox,Calgary,2023-08-03 03:24:30,2023-08-03 05:24:30,Facebook,246
2023-12-24,winter_campaign,1423,1122,4215,3853,2941,Search Engine,Desktop,Android,Firefox,Calgary,2023-12-24 06:38:56,2023-12-24 08:38:56,Facebook,797
2023-10-29,fall_campaign,1609,585,4058,2878,64,Search Engine,Tablet,iOS,Safari,Edmonton,2023-10-29 07:27:20,2023-10-29 09:27:20,Facebook,430
2023-03-16,spring_campaign,935,786,2850,2534,1552,Email Marketing,Mobile,Android,Chrome,Ottawa,2023-03-16 04:39:01,2023-03-16 09:39:01,Facebook,730
2023-05-19,spring_campaign,1185,986,2236,1265,199,Social Media,Tablet,iOS,Firefox,Toronto,2023-05-19 21:25:30,2023-05-20 02:25:30,YouTube,915
2023-11-12,fall_campaign,673,598,1959,1866,1614,Email Marketing,Tablet,iOS,Safari,Montreal,2023-11-12 22:38:39,2023-11-13 00:38:39,Facebook,531
2023-02-07,winter_campaign,1811,1332,2981,897,716,Social Media,Mobile,Android,Safari,Vancouver,2023-02-07 22:42:48,2023-02-08 03:42:48,YouTube,597
2023-05-17,spring_campaign,1555,420,3948,527,426,Email Marketing,Mobile,iOS,Firefox,Vancouver,2023-05-17 05:25:30,2023-05-17 08:25:30,YouTube,326
2023-06-17,summer_campaign,1407,421,4445,2865,210,Social Media,Desktop,Android,Firefox,Calgary,2023-06-17 10:25:30,2023-06-17 15:25:30,YouTube,140
2023-05-16,spring_campaign,1574,681,3999,1201,962,Email Marketing,Mobile,iOS,Chrome,Vancouver,2023-05-16 19:36:27,2023-05-16 23:36:27,Google,207
2023-05-09,spring_campaign,761,659,1343,582,506,Search Engine,Desktop,iOS,Chrome,Montreal,2023-05-09 03:03:16,2023-05-09 08:03:16,Google,440
2023-11-03,fall_campaign,1649,459,4875,971,847,Social Media,Mobile,Android,Safari,Toronto,2023-11-03 03:02:54,2023-11-03 07:02:54,Google,144
